"Time","Cosmos_Bonded_Ratio{instance=""localhost:8003"", job=""cosmos"", v=""cosmos_amount_bonded_ratio""}"
2023-08-13 00:00:00,69.95%
2023-08-14 00:00:00,69.93%
2023-08-15 00:00:00,69.90%
2023-08-16 00:00:00,69.91%
2023-08-17 00:00:00,69.87%
2023-08-18 00:00:00,69.60%
2023-08-19 00:00:00,69.70%
2023-08-20 00:00:00,68.71%
2023-08-21 00:00:00,69.80%
2023-08-22 00:00:00,69.66%
2023-08-23 00:00:00,69.77%
2023-08-24 00:00:00,69.83%
2023-08-25 00:00:00,69.79%
2023-08-26 00:00:00,69.85%
2023-08-27 00:00:00,69.87%
2023-08-28 00:00:00,68.52%
2023-08-29 00:00:00,68.53%
2023-08-30 00:00:00,68.56%
2023-08-31 00:00:00,68.55%
2023-09-02 00:00:00,68.47%
2023-09-03 00:00:00,68.44%
2023-09-04 00:00:00,68.31%
2023-09-05 00:00:00,68.31%
2023-09-06 00:00:00,68.21%
2023-09-07 00:00:00,68.19%
2023-09-08 00:00:00,68.22%
2023-09-09 00:00:00,68.21%
2023-09-10 00:00:00,68.19%
2023-09-11 00:00:00,68.18%
2023-09-12 00:00:00,68.14%
2023-09-13 00:00:00,68.10%
2023-09-14 00:00:00,67.99%
2023-09-15 00:00:00,68.08%
2023-09-16 00:00:00,68.15%
2023-09-17 00:00:00,68.14%
2023-09-18 00:00:00,68.19%
2023-09-19 00:00:00,68.23%
2023-09-20 00:00:00,68.24%
2023-09-21 00:00:00,68.28%
2023-09-22 00:00:00,68.31%
2023-09-23 00:00:00,67.64%
2023-09-24 00:00:00,67.58%
2023-09-25 00:00:00,67.58%
2023-09-26 00:00:00,67.65%
2023-09-27 00:00:00,67.48%
2023-09-28 00:00:00,67.47%
2023-09-29 00:00:00,67.52%
2023-09-30 00:00:00,67.53%
2023-10-01 00:00:00,67.62%
2023-10-02 00:00:00,67.61%
2023-10-03 00:00:00,67.66%
2023-10-04 00:00:00,67.70%
2023-10-05 00:00:00,67.68%
2023-10-06 00:00:00,67.74%
2023-10-07 00:00:00,67.75%
2023-10-08 00:00:00,67.75%
2023-10-09 00:00:00,67.73%
2023-10-10 00:00:00,67.75%
2023-10-11 00:00:00,67.75%
2023-10-12 00:00:00,67.79%
2023-10-13 00:00:00,65.50%
2023-10-14 00:00:00,66.73%
2023-10-15 00:00:00,66.73%
2023-10-16 00:00:00,66.85%
2023-10-17 00:00:00,66.87%
2023-10-18 00:00:00,66.92%
2023-10-19 00:00:00,66.71%
2023-10-20 00:00:00,66.76%
2023-10-21 00:00:00,66.68%
2023-10-22 00:00:00,66.63%
2023-10-23 00:00:00,66.64%
2023-10-24 00:00:00,66.63%
2023-10-25 00:00:00,66.53%
2023-10-26 00:00:00,66.39%
2023-10-27 00:00:00,66.22%
2023-10-28 00:00:00,66.34%
2023-10-29 00:00:00,66.35%
2023-10-29 23:00:00,66.34%
2023-10-30 23:00:00,66.36%
2023-10-31 23:00:00,66.27%
2023-11-01 23:00:00,66.22%
2023-11-02 23:00:00,65.83%
2023-11-03 23:00:00,65.85%
2023-11-04 23:00:00,65.78%
2023-11-05 23:00:00,65.77%
2023-11-06 23:00:00,65.78%
2023-11-07 23:00:00,64.81%
2023-11-08 23:00:00,65.75%
2023-11-09 23:00:00,65.70%
2023-11-10 23:00:00,65.67%
2023-11-11 23:00:00,65.66%
