date,bonded_percent,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,token,bonded_tokens
2023-08-13,0.461,17.78%,,,,,,,,,,,
2023-08-14,0.461,17.76%,,,,,,,,,,,
2023-08-15,0.462,17.72%,,,,,,,,,,,
2023-08-16,0.46399999999999997,17.65%,,,,,,,,,,,
2023-08-17,0.46399999999999997,17.65%,,,,,,,,,,,
2023-08-18,0.45,18.19%,,,,,,,,,,,
2023-08-19,0.451,18.15%,,,,,,,,,,,
2023-08-20,0.451,18.11%,,,,,,,,,,,
2023-08-21,0.452,18.10%,,,,,,,,,,,
2023-08-22,0.452,18.09%,,,,,,,,,,,
2023-08-23,0.452,18.06%,,,,,,,,,,,
2023-08-24,0.45,18.13%,,,,,,,,,,,
2023-08-25,0.515,15.87%,,,,,,,,,,,
2023-08-26,0.44299999999999995,18.44%,,,,,,,,,,,
2023-08-27,0.441,18.51%,,,,,,,,,,,
2023-08-28,0.441,18.51%,,,,,,,,,,,
2023-08-29,0.44299999999999995,18.42%,,,,,,,,,,,
2023-08-30,0.44299999999999995,18.39%,,,,,,,,,,,
2023-08-31,0.44299999999999995,18.38%,0.034413773963,-2.11099523188,-8.86511009874,-21.202482189129,0.377263902621548,4017289.68,185836712.89017823,587378721.0,492590761.0,Osmosis,218217707.0
2023-09-01,0.44299999999999995,18.38%,-0.090983284896,-4.232712625776,-10.396654465993,-24.578740332688,0.3612954057827899,7147480.79,177970778.88034827,587378721.0,492590761.0,Osmosis,218217707.0
2023-09-02,0.44299999999999995,18.40%,0.099973583168,-2.545687621662,-11.524976041654,-24.971567846629,0.3520979533601423,3549633.07,173440198.79221502,587378721.0,492590761.0,Osmosis,218217707.0
2023-09-03,0.44299999999999995,18.39%,0.185478485854,1.081512801085,-7.671440483725,-23.443686788262,0.35590593779809065,3136579.67,175315976.74438015,587378721.0,492590761.0,Osmosis,218217707.0
2023-09-04,0.44299999999999995,18.38%,0.03726771913,0.120103556012,-5.586380619642,-22.478089180399,0.3563333934854448,2880888.61,175526537.4667077,587378721.0,492590761.0,Osmosis,218217707.0
2023-09-05,0.44299999999999995,18.36%,0.166342435515,-0.611536220452,-6.562000458171,-22.75474374161,0.35415428571871654,3543077.73,174453129.11359403,587378721.0,492590761.0,Osmosis,218217707.0
2023-09-06,0.513,15.86%,0.289939282957,1.233739765556,-6.973551181907,-21.303596605985,0.3585236279730476,4044527.84,176605426.7397244,587378721.0,492590761.0,Osmosis,252699060.0
2023-09-07,0.513,15.86%,0.579490240902,0.499506729429,-4.492723762439,-20.855385670783,0.36031447762136504,3810860.97,177487582.73082566,587378721.0,492590761.0,Osmosis,252699060.0
2023-09-08,0.505,16.12%,0.000642967145,-0.728213397554,-0.997739357627,-21.774242195259,0.35769061932199797,4736073.0,176195094.37438428,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-09,0.504,16.12%,-0.030150550629,-2.079614402989,-0.524263108629,-23.056404419771,0.35025203368443686,4254542.71,172530915.81441438,587378721.0,492590761.0,Osmosis,248265744.0
2023-09-10,0.505,16.11%,0.069394663972,0.084500914607,-1.505436513622,-22.662504162625,0.35054799985632895,3125693.23,172676706.01625696,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-11,0.511,15.88%,-0.087823558894,-3.994725563684,-5.553457675913,-25.76196318267,0.3365445692930858,3505391.88,165778745.49849835,587378721.0,492590761.0,Osmosis,251713879.0
2023-09-12,0.506,16.04%,-0.111679627908,-5.565753244325,-10.261334727578,-30.546147382629,0.3178133290090556,3618248.9,156551909.5925141,587378721.0,492590761.0,Osmosis,249250925.0
2023-09-13,0.507,16.00%,-0.101726714946,1.743235691242,-9.809691980419,-28.585992436945,0.3233535643918668,3362611.76,159280978.35585216,587378721.0,492590761.0,Osmosis,249743516.0
2023-09-14,0.508,15.96%,0.026660453245,0.800899176326,-9.539216248697,-28.997008515165,0.3259433004257011,2967077.33,160556658.39954773,587378721.0,492590761.0,Osmosis,250236107.0
2023-09-15,0.508,15.97%,-0.432937399392,1.521102794692,-7.489541183716,-25.554305284331,0.33090123307758845,3889283.41,162998890.21752766,587378721.0,492590761.0,Osmosis,250236107.0
2023-09-16,0.506,16.03%,-0.166452476766,0.43211456399,-5.116580765508,-22.130109949783,0.33233110549813916,3029683.77,163703232.16129965,587378721.0,492590761.0,Osmosis,249250925.0
2023-09-17,0.506,16.04%,0.039828347454,1.816098054164,-3.474969368773,-23.021494716224,0.33836656423847394,2580956.71,166676243.37518525,587378721.0,492590761.0,Osmosis,249250925.0
2023-09-18,0.505,16.05%,-0.089918919001,-2.477140067168,-1.949167923001,-24.706590861957,0.32998475050182385,2510108.52,162547439.36808854,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-19,0.505,16.04%,-0.01600764409,2.1908188627,6.104460662895,-22.736642718353,0.3372141186598503,3007998.85,166108559.33059996,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-20,0.505,16.05%,-0.383401748029,0.754705958202,5.073557591444,-21.536167610571,0.33975909370527413,2852872.99,167362190.52495128,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-21,0.505,16.04%,-0.149937815135,-2.053535171218,2.098132032163,-20.854574774102,0.33278202121862344,2730903.08,163925349.07919988,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-22,0.505,16.04%,-0.30197262763,-2.398009931332,-1.843256285493,-20.180954835319,0.32480187530011273,2973969.71,159994402.92830962,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-23,0.505,16.01%,0.355025386362,-0.090488265734,-2.354019125092,-21.609256267611,0.32450796771608176,2166876.37,159849626.76782814,587378721.0,492590761.0,Osmosis,248758334.0
2023-09-24,0.506,15.99%,0.059604139191,-0.50192717222,-4.577104189722,-19.924101621323,0.3228791740500953,1955134.08,159047298.0563879,587378721.0,492590761.0,Osmosis,249250925.0
2023-09-25,0.506,15.98%,-1.051073749734,-1.209313035746,-3.336577334705,-19.848209716814,0.31897455410859743,1787792.81,157123918.34798968,587378721.0,492590761.0,Osmosis,249250925.0
2023-09-26,0.506,15.98%,0.071958835965,-0.496018994574,-5.8780868981,-17.662567240572,0.3173923797323608,2821728.21,156344553.86796457,587378721.0,492590761.0,Osmosis,249250925.0
2023-09-27,0.506,15.98%,0.205171974518,-0.616566442897,-7.159086932271,-16.422646399682,0.31543544482661784,2363193.06,155380585.81351718,587378721.0,492590761.0,Osmosis,249250925.0
