date,total_tokens
2024-08-25,243551522092882449024466573.000000000
2024-08-24,243331039642112177951850654.000000000
2024-08-23,243011551277339456730912884.000000000
2024-08-22,242588852895028244055670764.000000000
2024-08-21,238210415054255864368157611.000000000
2024-08-20,237641630992967820683708572.000000000
2024-08-19,238044485560320440987737515.000000000
2024-08-18,236557697487298998875375417.000000000
2024-08-17,236360975690029505126608763.000000000
2024-08-16,235441118428403640236414523.000000000
2024-08-15,235035753398421830237234169.000000000
2024-08-14,234775552575278769807878716.000000000
2024-08-13,234464284578052680319654718.000000000
2024-08-12,234398638320448895419209284.000000000
2024-08-11,234797626515685310183584995.000000000
2024-08-10,234078620138398059508854826.000000000
2024-08-09,233975189802518386893337764.000000000
2024-08-08,232080198487032542186113455.000000000
2024-08-07,230531708722805788626091318.000000000
2024-08-06,229786692160744903985540756.000000000
2024-08-05,229233437648680890565396839.000000000
2024-08-04,228320039875721600926424533.000000000
2024-08-03,227822641592395884877126875.000000000
2024-08-02,226960095941786626727708220.000000000
2024-08-01,226391435669838190362253631.000000000
2024-07-31,226671147569637837637275580.000000000
2024-07-30,226618443672245526354647738.000000000
2024-07-29,226114805987718670842908279.000000000
2024-07-28,226133444436298475904547038.000000000
2024-07-27,226069352175433884324632942.000000000
2024-07-26,225380576201519161934738882.000000000
2024-07-25,223689107442933879068531424.000000000
2024-07-24,225423855722519598522035028.000000000
2024-07-23,225209967928522884384216075.000000000
2024-07-22,225167685746122008774849190.000000000
2024-07-21,223986475693844361812422875.000000000
2024-07-20,223898336107419128829878598.000000000
2024-07-19,223809988764437755077179726.000000000
2024-07-18,223718401661420553087660147.000000000
2024-07-17,223641937658951168680423457.000000000
2024-07-16,223358545543256802743671075.000000000
2024-07-15,223066440560602477230299582.000000000
2024-07-14,223012845644034092518064250.000000000
2024-07-13,222522654103522283344369362.000000000
2024-07-12,222059275150901717890263021.000000000
2024-07-11,221334608262536786049900828.000000000
2024-07-10,220529793278036216760452219.000000000
2024-07-09,220113911838956399914985185.000000000
2024-07-08,218099378816780972663753336.000000000
2024-07-07,216975577496001551090165310.000000000
2024-07-06,213973630127847993351398380.000000000
2024-07-05,213651701438940385505460524.000000000
2024-07-04,212406817381093850560818597.000000000
2024-07-03,210905882735586257410689655.000000000
2024-07-02,213115868869476791199832926.000000000
2024-07-01,212960097549731576557059271.000000000
2024-06-30,212657933609585010734027188.000000000
2024-06-29,212604800879903227807644796.000000000
2024-06-28,212403176685836722244198536.000000000
2024-06-27,208364436132622792201110011.000000000
2024-06-26,208397720991717963025604964.000000000
2024-06-25,201788877349756979222084182.000000000
2024-06-24,201400875383254777774128034.000000000
2024-06-23,201192302008300121397278494.000000000
2024-06-22,201034420587241983387325490.000000000
2024-06-21,200412262816289016523915436.000000000
2024-06-20,199401550991807387040485165.000000000
2024-06-18,198003510877105462316090554.000000000
2024-06-17,196592781285964999474745853.000000000
2024-06-16,196152322424794706674808903.000000000
2024-06-15,195825338263900141395399364.000000000
2024-06-14,195169078288830925258487693.000000000
2024-06-13,194490682670333998042334489.000000000
2024-06-12,194162080601834664553978139.000000000
2024-06-11,193864574935492078971252807.000000000
2024-06-10,187758718750080157500708309.000000000
2024-06-09,187757126484359868113414895.000000000
2024-06-08,187588107624544668068962534.000000000
2024-06-07,186108220922288803828979405.000000000
2024-06-06,185822150727776266693371467.000000000
2024-06-05,184436209235917986333085230.000000000
2024-06-04,184287287881993744058872247.000000000
2024-06-03,181524129256874329481229453.000000000
2024-06-02,181512263935892477783660535.000000000
2024-06-01,181073501244584858816736304.000000000
2024-05-31,180748439956784687805378800.000000000
2024-05-30,180266451531010553785708130.000000000
2024-05-29,179233715012719403271410790.000000000
2024-05-28,178566194703528799844958248.000000000
2024-05-27,178926644524640030826281174.000000000
2024-05-26,178729221757308490477875253.000000000
2024-05-25,178290221846892421591894712.000000000
2024-05-24,177422465966869453595615901.000000000
2024-05-23,176356642605518778443651953.000000000
2024-05-22,156460827626227435260963985.000000000
2024-05-21,155840356567303614722122953.000000000
2024-05-20,154768737750190600800904595.000000000
2024-05-19,154191649119091628014248973.000000000
2024-05-18,154087851399731762341011590.000000000
2024-05-17,153688103025234412625880246.000000000
2024-05-16,153648348444894289104870744.000000000
2024-05-15,151397558646632242892424403.000000000
2024-05-14,151280617034206720228976145.000000000
2024-05-13,151076579292991274114210924.000000000
2024-05-12,150805812414883735140614686.000000000
2024-05-11,150753488984031504709009608.000000000
2024-05-10,154452761062155543397970133.000000000
2024-05-09,154453310304222157455673404.000000000
2024-05-08,153850573551994454578594261.000000000
2024-05-07,153119162962379740518551448.000000000
2024-05-06,152297431981011873420207394.000000000
2024-05-05,152063508968138753776901452.000000000
2024-05-04,151975350651708865010071035.000000000
2024-05-03,151562716746440361757018126.000000000
2024-05-02,150807342410841489129051540.000000000
2024-05-01,150297505503683744020257892.000000000
2024-04-30,150407609065823230020252474.000000000
2024-04-29,150419915962075982955609162.000000000
2024-04-28,149591081977198425439807822.000000000
2024-04-27,149437628435676531791318800.000000000
2024-04-26,149387937234884579003311390.000000000
2024-04-25,148637085336621213071140150.000000000
2024-04-24,148662625676194844182114860.000000000
2024-04-23,148810105707251554503685539.000000000
2024-04-22,142629531050742073250504905.000000000
2024-04-21,141697970750745278880746227.000000000
2024-04-20,141693242481147646338479052.000000000
2024-04-19,141321111698434232580777881.000000000
2024-04-18,141162805024544223081274635.000000000
2024-04-17,140331011165968845031143775.000000000
2024-04-16,139543673526848827580233591.000000000
2024-04-15,140274993187480344393779653.000000000
2024-04-14,139827349197756873195382807.000000000
2024-04-13,139771535076628591767428199.000000000
2024-04-11,140873657774726265043210419.000000000
