7ma_gmx_su,7ma_mp_su,gmx_s_total,gmx_stake,gmx_total,gmx_u_total,gmx_unstake,mp_b_rate,mp_b_total,mp_boost,mp_burn,mp_s_rate,mp_s_total,mp_sb_rate,mp_stake,mp_total,mp_u_total,mp_unstake,time_scale
-6030.125,-5038.875,47519628,27232,8482549,39037079,-28589,87.31265278494696,7172001,96.83598644699842,-6390,0.07163240063500102,17466502,84.55006861734604,12275,8214160,9252342,-6391,2023-08-19 00:00:00.000 UTC
-6753.5,-1452.75,47524529,4901,8474803,39049726,-12647,87.00853426344015,7176912,97.32987303657677,-4911,0.4164992122824533,17505768,84.6852959295927,39266,8248515,9257253,-4911,2023-08-20 00:00:00.000 UTC
-7513.75,-2.625,47532466,7937,8469507,39062959,-13233,86.88878403474705,7181749,97.59068621113366,-4837,0.2048890260058436,17527540,84.79536058001959,21772,8265450,9262090,-4837,2023-08-21 00:00:00.000 UTC
-10163.0,762.375,47540427,7961,8454028,39086399,-23440,86.88033203789126,7189940,97.89040206632862,-8191,0.12363935685300619,17545963,85.04750634845307,18423,8275682,9270281,-8191,2023-08-22 00:00:00.000 UTC
-11991.25,2938.75,47552648,12221,8447330,39105318,-18919,86.7113958409002,7195518,98.23503994753372,-5578,0.27181673989104677,17574200,85.18097434337241,28237,8298238,9275962,-5681,2023-08-23 00:00:00.000 UTC
-3405.625,14062.25,47564115,11467,8447780,39116335,-11017,86.67303976396185,7199750,98.33107633011277,-4232,0.10298800030288464,17586987,85.22653288793032,12787,8306793,9280194,-4232,2023-08-24 00:00:00.000 UTC
-3331.625,16279.0,47573598,9483,8450088,39123510,-7175,86.5240636058278,7202822,98.51549474987716,-3072,0.214459569812338,17607912,85.23960933897966,20925,8324646,9283266,-3072,2023-08-25 00:00:00.000 UTC
-4217.375,15920.375,47578426,4828,8450167,39128259,-4749,86.4344173254144,7204861,98.6446658391485,-2039,0.13187951157673694,17620984,85.26294214067012,13072,8335639,9285345,-2079,2023-08-26 00:00:00.000 UTC
-4135.5,16437.875,47584011,5585,8449465,39134546,-6287,86.3711966323107,7208249,98.77149618348618,-3388,0.12011028961989,17634396,85.3101231853141,13412,8345663,9288733,-3388,2023-08-27 00:00:00.000 UTC
-2974.875,14204.25,47587585,3574,8451004,39136581,-2035,86.21505070048381,7209431,98.9485864638095,-1182,0.19715027799672072,17652064,85.30857398718543,17668,8362149,9289915,-1182,2023-08-28 00:00:00.000 UTC
-2208.625,13965.75,47601533,13948,8451838,39149695,-13114,86.1161923779565,7214105,99.1166181841157,-4674,0.179380258932127,17671961,85.35545759395767,19897,8377176,9294785,-4870,2023-08-29 00:00:00.000 UTC
-612.125,13484.375,47635578,34045,8449131,39186447,-36752,86.17948205039937,7224906,99.22389651669504,-10801,0.07611327745490369,17698152,85.51064008831204,26191,8383557,9314595,-19810,2023-08-30 00:00:00.000 UTC
-9312.875,2541.875,47652360,16782,8372827,39279533,-93086,87.93718586108459,7315119,99.35202291890182,-90213,-0.781191677947648,17726102,87.36737305094205,27950,8318573,9407529,-92934,2023-08-31 00:00:00.000 UTC
-9707.75,4859.0,47694707,42347,8370118,39324589,-45056,87.9598689858747,7340836,99.70785358103673,-25717,0.32462362196421735,17780251,87.70289737850769,54149,8345665,9434586,-27057,2023-09-01 00:00:00.000 UTC
-11732.0,1979.75,47714452,19745,8356232,39358220,-33631,88.30573861181198,7365126,99.8115418528351,-24290,-0.062118697188316654,17800117,88.13931925298388,19866,8340484,9459633,-25047,2023-09-02 00:00:00.000 UTC
-10864.0,908.375,47727665,13213,8363255,39364410,-6190,88.32446392180374,7368827,99.75668564452477,-3701,0.029030651909538473,17806333,88.10955782168546,6216,8342906,9463427,-3794,2023-09-03 00:00:00.000 UTC
-11308.125,-1233.75,47751421,23756,8359000,39392421,-28011,88.68570752656646,7392657,99.72237109702118,-23830,-0.08533081375701149,17825207,88.43949036966144,18874,8335793,9489414,-25987,2023-09-04 00:00:00.000 UTC
-4856.75,-2042.875,47826611,75190,8412150,39414461,-22040,88.66636727477251,7399923,99.2113312292339,-7266,0.11997642887936767,17846513,87.9670833259036,21306,8345806,9500707,-11293,2023-09-05 00:00:00.000 UTC
-4104.5,-2747.75,47851339,24728,8419002,39432337,-17876,88.72381658642516,7413047,99.24209544076602,-13124,0.11236124499323416,17871156,88.05137473539025,24643,8355194,9515962,-15255,2023-09-06 00:00:00.000 UTC
-4520.25,-2912.0,47866854,15515,8412969,39453885,-21548,88.7578988263644,7420392,99.37349109452323,-7345,0.0606081556544706,17883771,88.20182268590315,12615,8360261,9523510,-7548,2023-09-07 00:00:00.000 UTC
4980.25,7267.125,47870942,4088,8412669,39458273,-4388,88.624734531815,7423837,99.57256133576632,-3445,0.1963658763404726,17903665,88.24591815035157,19894,8376710,9526955,-3445,2023-09-08 00:00:00.000 UTC
4728.125,4590.75,47876180,5238,8407943,39468237,-9964,88.59117881759512,7426059,99.69609689314022,-2222,0.06777302562001701,17911629,88.32194747276473,7964,8382391,9529238,-2283,2023-09-09 00:00:00.000 UTC
5601.5,5557.25,47892255,16075,8401044,39491211,-22974,88.6842985914512,7436127,99.8083333452366,-10068,0.03042358551794395,17924450,88.51432036304058,12821,8384942,9539508,-10270,2023-09-10 00:00:00.000 UTC
5022.25,7036.25,47906500,14245,8403433,39503067,-11856,88.59166996460137,7440988,99.94958012993023,-4861,0.16970671954791863,17943567,88.54700215971259,19117,8399196,9544371,-4863,2023-09-11 00:00:00.000 UTC
6163.875,10450.875,47918301,11801,8408311,39509990,-6923,88.42588545502055,7444929,100.1318814206563,-3941,0.23996959403282894,17967712,88.54250276898654,24145,8419400,9548312,-3941,2023-09-12 00:00:00.000 UTC
-259.0,10259.625,47923244,4943,8410078,39513166,-3176,88.36602264174763,7447385,100.21171028378095,-2456,0.10065398392455138,17978651,88.55310259904843,10939,8427883,9550768,-2456,2023-09-13 00:00:00.000 UTC
-936.0,10681.25,47967746,44502,8411514,39556232,-43066,88.30105854482193,7453178,100.34631102082217,-5793,0.15118514653621218,18005710,88.6068548420653,27059,8440644,9565066,-14298,2023-09-14 00:00:00.000 UTC
-1835.75,9558.25,47973637,5891,8398283,39575354,-19122,88.53914557149946,7469806,100.45776023503852,-16628,-0.04642795719240412,18018421,88.94444257236867,12711,8436727,9581694,-16628,2023-09-15 00:00:00.000 UTC
-1749.625,8154.25,47977375,3738,8398672,39578703,-3349,88.50177162985207,7471270,100.51522431165307,-1464,0.061798562037369595,18025105,88.95775427353276,6684,8441944,9583161,-1467,2023-09-16 00:00:00.000 UTC
975.875,9345.125,47996976,19601,8415750,39581226,-2523,88.35221360571502,7472081,100.49195853013696,-811,0.17982412991985955,18041542,88.78686985711315,16437,8457152,9584390,-1229,2023-09-17 00:00:00.000 UTC
1858.875,10813.75,48001905,4929,8415915,39585990,-4764,88.22531249660625,7473965,100.65990447859798,-1884,0.16880223130580213,18057771,88.80751528502843,16229,8471452,9586319,-1929,2023-09-18 00:00:00.000 UTC
1325.75,11669.375,48059088,57183,8414039,39645049,-59059,88.03890609547119,7476749,100.93310715579047,-2784,0.24844125163334313,18087999,88.86040342812768,30228,8492551,9595448,-9129,2023-09-19 00:00:00.000 UTC
1142.875,11254.25,48069487,10399,8417454,39652033,-6984,87.91414329084637,7480996,101.09272946427743,-4247,0.19840332506251296,18109177,88.87480703785255,21178,8509434,9599743,-4295,2023-09-20 00:00:00.000 UTC
-3663.625,10380.5,48074561,5074,8380769,39693792,-41759,88.00746381680867,7490251,101.55305557282392,-9255,0.017542154926249515,18119926,89.37426863811662,10749,8510927,9608999,-9256,2023-09-21 00:00:00.000 UTC
-3720.875,9810.125,48079806,5245,8381747,39698059,-4267,87.95604008627646,7493085,101.6390139191746,-2834,0.09623054010828577,18130977,89.39765182604533,11051,8519125,9611852,-2853,2023-09-22 00:00:00.000 UTC
-2249.75,11257.375,48085809,6003,8380285,39705524,-7465,87.89988396565835,7495035,101.74816250282657,-1950,0.08984627971195712,18140591,89.43651677717405,9614,8526786,9613805,-1953,2023-09-23 00:00:00.000 UTC
-2618.375,11464.75,48087999,2190,8377725,39710274,-4750,87.84272215140464,7496201,101.86132870200441,-1166,0.0805750216026836,18148636,89.47776395143073,8045,8533662,9614974,-1169,2023-09-24 00:00:00.000 UTC
-3417.625,12753.0,48102409,14410,8388409,39714000,-3726,87.60744024892115,7498475,102.0357495682435,-2274,0.2980894422547217,18176712,89.39090833553777,28076,8559176,9617536,-2562,2023-09-25 00:00:00.000 UTC
